n1,n2,n3,n4,n5,n6,c,Año,Mes,Día
5,3,7,9,16,31,11,2009,4,18
40,17,21,34,7,30,4,2009,5,7
3,13,23,5,43,39,26,2009,5,9
29,9,43,23,40,14,18,2009,5,14
34,26,29,32,28,8,36,2009,5,16
3,36,26,5,16,49,40,2009,5,21
6,17,47,5,22,41,25,2009,5,23
44,48,31,39,1,17,27,2009,5,28
11,9,13,17,22,3,14,2009,5,30
4,46,14,25,41,10,5,2009,6,4
17,32,47,2,42,28,33,2009,6,6
40,17,39,33,41,32,23,2009,6,11
44,2,18,10,36,24,31,2009,6,13
12,29,39,10,18,46,7,2009,6,18
8,17,33,23,37,13,12,2009,6,20
16,27,21,11,29,17,48,2009,6,25
1,45,43,23,22,36,11,2009,6,27
41,2,24,29,42,15,7,2009,7,2
12,16,8,14,13,37,43,2009,7,4
27,7,2,20,30,13,35,2009,7,9
1,47,11,35,43,36,9,2009,7,11
14,2,5,8,44,34,36,2009,7,16
14,28,22,38,5,30,17,2009,7,18
2,49,3,19,47,10,36,2009,7,23
25,29,18,27,4,10,15,2009,7,25
27,38,39,44,9,45,48,2009,7,30
41,44,49,6,25,20,45,2009,8,1
12,18,19,48,17,31,39,2009,8,6
2,35,31,13,19,6,40,2009,8,8
35,45,22,3,25,14,43,2009,8,13
48,17,39,26,13,42,15,2009,8,15
24,39,36,38,15,9,11,2009,8,20
14,22,8,3,49,37,31,2009,8,22
44,49,40,3,45,25,43,2009,8,27
28,11,32,41,37,6,27,2009,8,29
11,37,8,13,6,2,24,2009,9,3
11,40,9,37,29,8,7,2009,9,5
11,14,10,15,13,7,45,2009,9,10
25,12,17,24,43,26,45,2009,9,12
36,38,33,42,35,41,11,2009,9,17
2,31,1,16,3,22,28,2009,9,19
14,27,12,4,44,5,29,2009,9,24
43,32,45,35,11,48,18,2009,9,26
15,5,20,39,29,38,48,2009,10,1
42,27,35,20,47,3,32,2009,10,3
28,29,46,7,39,22,26,2009,10,8
14,18,20,9,35,3,2,2009,10,10
41,18,23,6,39,3,46,2009,10,15
46,44,31,3,49,15,28,2009,10,17
42,17,33,44,15,30,6,2009,10,22
27,21,7,25,28,16,1,2009,10,24
33,40,38,14,28,1,13,2009,10,29
46,2,24,19,34,42,12,2009,10,31
18,10,36,14,3,34,44,2009,11,5
47,48,15,33,30,40,31,2009,11,7
34,18,5,36,23,16,17,2009,11,12
31,30,6,36,47,21,35,2009,11,14
31,14,22,46,34,30,29,2009,11,19
14,42,48,21,17,15,11,2009,11,21
46,49,30,47,48,40,16,2009,11,26
45,9,46,10,47,38,19,2009,11,28
46,7,9,5,36,48,21,2009,12,3
44,9,2,8,16,13,5,2009,12,5
13,26,32,24,21,34,39,2009,12,10
28,48,10,4,21,23,29,2009,12,12
28,7,32,16,46,42,25,2009,12,17
25,43,9,49,42,44,28,2009,12,19
43,42,38,30,8,27,49,2009,12,24
45,26,38,5,34,2,33,2009,12,26
19,17,37,34,20,30,41,2009,12,31
48,15,24,1,43,4,28,2010,1,2
38,19,49,24,25,43,22,2010,1,7
31,13,43,26,30,29,40,2010,1,9
4,2,20,48,33,1,12,2010,1,14
47,34,5,8,19,35,14,2010,1,16
44,43,14,8,18,7,24,2010,1,21
33,13,28,40,11,9,22,2010,1,23
17,32,19,16,21,18,36,2010,1,28
8,48,26,1,40,5,33,2010,1,30
19,47,11,1,35,26,40,2010,2,4
21,5,17,42,19,7,2,2010,2,6
10,25,6,37,28,32,21,2010,2,11
20,17,19,6,30,15,48,2010,2,13
34,26,38,30,39,41,3,2010,2,18
18,45,13,33,20,14,35,2010,2,20
4,13,3,2,5,44,38,2010,2,25
7,22,27,3,24,44,30,2010,2,27
30,33,24,48,23,4,25,2010,3,4
29,14,31,20,32,7,35,2010,3,6
24,35,31,16,11,25,29,2010,3,11
22,47,8,11,33,31,30,2010,3,13
14,40,8,11,39,37,32,2010,3,18
